calendar_years,acara_sml_id,acara_sml_school_name,suburb,address,post_code,state,school_sector_code_desc,school_type_code_desc,year_range,total_enrollments,fte_total_enrollments,total_female_enrollments,total_male_enrollments,campus_type_code,school_url,latitude,longitude,street_lat,street_lon,geo_formatted_address,geo_suburb,geo_reliability,geo_supplier,atlas_suburb_id
2013,40000,Corpus Christi Catholic School,BELLERIVE,10 ALMA ST,7018,TAS,C,Primary," U, Prep-6",388,388,185,203,G,http://www.corpuschristi.tas.edu.au,-42.871148,147.372475,-42.871627,147.372386,"10 ALMA ST, BELLERIVE, TAS 7018",BELLERIVE,2,Sensis,
2013,40001,Fahan School,SANDY BAY,FISHER AVE,7005,TAS,I,Combined," U, Prep-12",337,337,337,,G,http://www.fahan.tas.edu.au,-42.914444,147.351667,-42.914444,147.351667,"Fahan School, Sandy Bay TAS 7005, Australia",SANDY BAY,3,Google,
2013,40002,Geneva Christian College,LATROBE,197 MORIARTY RD,7307,TAS,I,Combined," U, Prep-12",134,134,52,82,G,http://www.geneva.tas.edu.au,-41.226756,146.438394,-41.227527,146.438484,"197 MORIARTY RD, LATROBE, TAS 7307",LATROBE,2,Sensis,
2013,40003,Holy Rosary Catholic School,CLAREMONT,29 WYNDHAM RD,7011,TAS,C,Primary," U, Prep-6",380,380,172,208,G,http://www.holyrosary.tas.edu.au,-42.789485,147.248422,-42.790255,147.247299,"29 WYNDHAM RD, CLAREMONT, TAS 7011",CLAREMONT,2,Sensis,
2013,40004,Immaculate Heart of Mary Catholic School,LENAH VALLEY,10 MCCANN CRES,7008,TAS,C,Primary," U, Prep-6",175,175,76,99,G,http://www.ihms.tas.edu.au,-42.865304,147.290064,-42.86549,147.289775,"6-10 MCCANN CR, LENAH VALLEY, TAS 7008",LENAH VALLEY,2,Sensis,
2013,40005,John Calvin School,LAUNCESTON,53 HOWICK ST,7250,TAS,I,Combined," U, Prep-10",73,73,36,37,G,http://www.jcs.tas.edu.au,-41.448143,147.144615,-41.447498,147.144339,"53 HOWICK ST, SOUTH LAUNCESTON, TAS 7249",SOUTH LAUNCESTON,2,Sensis,
2013,40006,Larmenier Catholic School,ST LEONARDS,38 STATION RD,7250,TAS,C,Primary," U, Prep-6",178,178,96,82,G,http://www.larmenier.com,-41.460469,147.195194,-41.461683,147.195367,"38 STATION RD, ST LEONARDS, TAS 7250",ST LEONARDS,2,Sensis,
2013,40007,Launceston Church Grammar School,MOWBRAY,BUTTON STREET,7248,TAS,I,Combined," U, Prep-12",706,706,363,343,H,http://www.lcgs.tas.edu.au,-41.408767,147.1278048,-41.408767,147.1278048,"Launceston Church Grammar School, Mowbray TAS 7248, Australia",MOWBRAY,3,Google,
2013,40008,St James' Catholic College,CYGNET,MARY ST,7112,TAS,C,Combined," U, Prep-10",271,271,117,154,G,http://www.sjcc.tas.edu.au,-43.1624054,147.0756298,-43.1624054,147.0756298,"St James Catholic College, Cygnet TAS 7112, Australia",CYGNET,3,Google,
2013,40009,Our Lady of Lourdes Catholic School,DEVONPORT,STEWART ST,7310,TAS,C,Primary," U, Prep-6",383,383,192,191,G,http://www.ololtas.com.au,-41.1799006,146.3560345,-41.1799006,146.3560345,"Our Lady of Lourdes Catholic Primary School, 59-61 Stewart Street, Devonport TAS 7310, Australia",DEVONPORT,3,Google,
2013,40010,Our Lady of Mercy Catholic School,DELORAINE,22 WEST GODERICH ST,7304,TAS,C,Primary," U, Prep-6",116,116,59,57,G,http://www.olom.tas.edu.au,-41.525114,146.649294,-41.52452,146.64995,"22 WEST GODERICH ST, DELORAINE, TAS 7304",DELORAINE,2,Sensis,
2013,40011,Sacred Heart Catholic School,ULVERSTONE,BUTTONS AVE,7315,TAS,C,Primary," U, Prep-6",273,273,142,131,G,http://www.shu.tas.edu.au,-41.1556797,146.1878243,-41.1556797,146.1878243,"Sacred Heart Catholic Primary School, Buttons Avenue, Ulverstone TAS 7375, Australia",ULVERSTONE,3,Google,
2013,40012,Sacred Heart Catholic School,GEEVESTON,4690 HUON HIGHWAY,7116,TAS,C,Primary," U, Prep-6",159,159,77,82,G,http://www.shg.tas.edu.au,-43.164796,146.943058,-43.165811,146.943312,"4690 HUON HWY, GEEVESTON, TAS 7116",GEEVESTON,2,Sensis,
2013,40014,St Anthony's Catholic School,RIVERSIDE,382A WEST TAMAR RD,7250,TAS,C,Primary," U, Prep-6",179,179,85,94,G,http://www.stanthonys.tas.edu.au,-41.406972,147.096137,-41.408268,147.095194,"382A WEST TAMAR RD, RIVERSIDE, TAS 7250",RIVERSIDE,2,Sensis,
2013,40015,St Peter Chanel Catholic School,SMITHTON,SAMPSON AVE,7330,TAS,C,Primary," U, Prep-6",159,159,85,74,G,http://www.stpeterchanelsmithton.com,-40.845462,145.132397,-40.845462,145.132397,"ST Peter Chanel Primary School, 1 Sampson Avenue, Smithton TAS 7330, Australia",SMITHTON,3,Google,
2013,40016,St Brigid's Catholic School,NEW NORFOLK,89 MONTAGU ST,7140,TAS,C,Primary," U, Prep-6",187,187,92,95,G,http://www.stbrigidsnn.tas.edu.au,-42.780377,147.05587,-42.780859,147.056048,"89 MONTAGU ST, NEW NORFOLK, TAS 7140",NEW NORFOLK,2,Sensis,
2013,40017,St Brigid's Catholic School,WYNYARD,40-44 JACKSON ST,7325,TAS,C,Primary," U, Prep-6",156,156,81,75,G,http://www.sbw.tas.edu.au,-40.988203,145.727127,-40.988007,145.7275,"44 JACKSON ST, WYNYARD, TAS 7325",WYNYARD,2,Sensis,
2013,40018,St Cuthbert's Catholic School,LINDISFARNE,26 CORINNA RD,7015,TAS,C,Primary," U, Prep-6",210,210,101,109,G,http://www.stcuthberts.tas.edu.au,-42.843253,147.355452,-42.842944,147.355663,"26 CORINNA RD, LINDISFARNE, TAS 7015",LINDISFARNE,2,Sensis,
2013,40019,St John's Catholic School,RICHMOND,29 ST JOHNS CIRCLE,7025,TAS,C,Primary," U, Prep-6",294,294,152,142,G,http://www.stjohns.tas.edu.au,-42.7328271,147.4425367,-42.7328271,147.4425367,"St John's Catholic School, Saint Johns Circle, Richmond TAS 7025, Australia",RICHMOND,3,Google,
2013,40020,St Joseph's Catholic School,ROSEBERY,9 PROPSTING ST,7470,TAS,C,Primary," U, Prep-6",71,71,36,35,G,http://www.stjosephsr.tas.edu.au,-41.780016,145.543411,-41.780178,145.543255,"9 PROPSTING ST, ROSEBERY, TAS 7470",ROSEBERY,2,Sensis,
2013,40021,St Joseph's Catholic School,QUEENSTOWN,1 PONTIFEX STREET,7467,TAS,C,Primary," U, Prep-6",106,106,43,63,G,http://www.stjosephsq.tas.edu.au,-42.081106,145.559482,-42.081364,145.55979,"1 PONTIFEX ST, QUEENSTOWN, TAS 7467",QUEENSTOWN,2,Sensis,
2013,40022,St Mary's College,HOBART,164 HARRINGTON ST,7000,TAS,C,Combined," U, Prep-12",839,839,774,65,G,http://www.smc.tas.edu.au,-42.882682,147.318541,-42.880892,147.319769,"164 HARRINGTON ST, HOBART, TAS 7000",HOBART,2,Sensis,
2013,40023,St Patrick's Catholic School,LATROBE,BRADSHAW ST,7307,TAS,C,Primary," U, Prep-6",129,129,64,65,G,http://www.stpatslatrobe.tas.edu.au,-41.2356485,146.4177691,-41.2356485,146.4177691,"St Patrick's Catholic School, Latrobe, 55 Bradshaw Street, Latrobe TAS 7307, Australia",LATROBE,3,Google,
2013,40024,St Therese's Catholic School,MOONAH,24 HOPKINS ST,7009,TAS,C,Primary," U, Prep-6",196,196,95,101,G,http://www.sttherese.tas.edu.au,-42.846705,147.290694,-42.847578,147.290974,"24-30 HOPKINS ST, MOONAH, TAS 7009",MOONAH,2,Sensis,
2013,40025,Hilliard Christian School,WEST MOONAH,CHEVIOT RD,7009,TAS,I,Combined," U, Prep-10",90,90,40,50,G,http://hilliard.adventist.edu.au/,-42.854002,147.286921,-42.854002,147.286921,"Hilliard Christian School, West Moonah TAS 7009, Australia",WEST MOONAH,3,Google,
